시설번호,놀이시설명,주소1,주소2,설치일자,설치장소,한글주소,위도,경도
549087,자은동 협성아파트 어린이놀이터1,,경상남도 창원시 진해구 풍호로35번길 11 (자은동 협성DS.이아이존빌),2014-05-27,주택단지,경상남도 창원시 진해구 풍호로35번길 11 (자은동 협성DS.이아이존빌),35.140819,128.7046795
547238,자은주공3단지어린이놀이터2,,경상남도 창원시 진해구 진해대로975번길 23 (자은동자은동주공아파트3단지),2014-08-08,주택단지,경상남도 창원시 진해구 진해대로975번길 23 (자은동자은동주공아파트3단지),35.1434521,128.7089134
547239,자은주공3단지유아놀이터,,경상남도 창원시 진해구 진해대로975번길 23 (자은동자은동주공아파트3단지),2014-08-08,주택단지,경상남도 창원시 진해구 진해대로975번길 23 (자은동자은동주공아파트3단지),35.1434521,128.7089134
547622,부산신항만이지더원아파트203동 어린이놀이터,,경상남도 창원시 진해구 신항북로 202 (용원동 부산신항만 이지더원아파트 2단지),2014-09-16,주택단지,경상남도 창원시 진해구 신항북로 202 (용원동 부산신항만 이지더원아파트 2단지),35.087012,128.8123832
547623,부산신항만이지더원아파트101동 어린이놀이터,,경상남도 창원시 진해구 신항동로 143 (용원동 부산신항만 이지더원아파트 1단지),2014-09-16,주택단지,경상남도 창원시 진해구 신항동로 143 (용원동 부산신항만 이지더원아파트 1단지),35.0880118,128.8117522
548787,이바돔감자탕(용원동),,경상남도 창원시 진해구 용재로 24 (용원동),2014-12-01,식품접객업소,경상남도 창원시 진해구 용재로 24 (용원동),35.1017302,128.8123292
550295,어린이공원 34호(잎새길공원),경남 창원시 진해구 용원동1341-3,,2015-01-01,도시공원,경남 창원시 진해구 용원동1341-3,35.0903963,128.8150304
550296,어린이공원 33호(가람공원),경남 창원시 진해구 용원동1339-4,,2015-01-01,도시공원,경남 창원시 진해구 용원동1339-4,35.0875214,128.8135169
550297,어린이공원 32호(물방울공원),경남 창원시 진해구 용원동1338-4,,2015-01-01,도시공원,경남 창원시 진해구 용원동1338-4,35.0869309,128.810147
549909,조방낙지,,경상남도 창원시 진해구 용재로 28 (용원동),2015-01-04,식품접객업소,경상남도 창원시 진해구 용재로 28 (용원동),35.1016396,128.8128213
549903,자은벚꽃주공아파트 214동,,경상남도 창원시 진해구 진해대로921번길 10 (자은동 벚꽃마을주공아파트),2015-01-07,주택단지,경상남도 창원시 진해구 진해대로921번길 10 (자은동 벚꽃마을주공아파트),35.1466401,128.7089637
549904,자은벚꽃주공아파트 어린이집앞,,경상남도 창원시 진해구 진해대로921번길 10 (자은동 벚꽃마을주공아파트),2015-01-07,주택단지,경상남도 창원시 진해구 진해대로921번길 10 (자은동 벚꽃마을주공아파트),35.1466401,128.7089637
552243,진해해군관사105동어린이놀이터2,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을),2015-06-24,주택단지,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을),35.1331435,128.7049124
552980,진해해군관사103동어린이놀이터1,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을),2015-06-24,주택단지,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을),35.1331435,128.7049124
552664,창원마린푸르지오아파트 107동 앞 유아놀이터,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)풍호동305-8 창원마린푸르지오아파트,2015-07-27,주택단지,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)풍호동305-8 창원마린푸르지오아파트,35.1331435,128.7049124
552665,창원마린푸르지오아파트 101동 앞 놀이터,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동305-8),2015-07-27,주택단지,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동305-8),35.1331435,128.7049124
552666,창원마린푸르지오아파트 104동 앞 놀이터,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동 305-8),2015-07-27,주택단지,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동 305-8),35.1331435,128.7049124
552853,창원마린푸르지오아파트 107동앞 놀이터,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동 305-8),2015-07-27,주택단지,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동 305-8),35.1331435,128.7049124
552854,창원마린푸르지오아파트 115동 앞 놀이터,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동305-8),2015-07-27,주택단지,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동305-8),35.1331435,128.7049124
552855,창원마린푸르지오아파트 118동 앞 놀이터,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동305-8),2015-07-27,주택단지,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)(풍호동305-8),35.1331435,128.7049124
552856,창원마린푸르지오아파트 201동 앞 놀이터,,경상남도 창원시 진해구 천자로 386 (풍호동 창원 마린 푸르지오 1단지),2015-07-27,주택단지,경상남도 창원시 진해구 천자로 386 (풍호동 창원 마린 푸르지오 1단지),35.1332844,128.7070801
554497,썬키즈어린이집,,경상남도 창원시 진해구 진해대로979번길 5-7 (자은동),2015-12-21,어린이집,경상남도 창원시 진해구 진해대로979번길 5-7 (자은동),35.1420232,128.7077202
554710,바다마을해군어린이집놀이터,,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)해군관사 102동옆 바다마을어린이집놀이터,2015-12-24,어린이집,경상남도 창원시 진해구 충장로 645 (풍호동 바다마을)해군관사 102동옆 바다마을어린이집놀이터,35.1331435,128.7049124
555173,창원한신휴플러스오션파크 어린이놀이터(111동 뒤),경남 창원시 진해구 장천동260,,2016-03-08,주택단지,경남 창원시 진해구 장천동260,35.12844,128.7084027
555174,창원한신휴플러스오션파크 유아놀이터(보육시설 앞),경남 창원시 진해구 장천동260,,2016-03-08,주택단지,경남 창원시 진해구 장천동260,35.12844,128.7084027
555320,청안공원 어린이놀이터,경남 창원시 진해구 청안동478,,2016-03-23,도시공원,경남 창원시 진해구 청안동478,35.103255,128.8028139
556492,이바돔감자탕(진해구청점),,경상남도 창원시 진해구 천자로 389 (풍호동)마린프라자 2층,2016-06-29,식품접객업소,경상남도 창원시 진해구 천자로 389 (풍호동)마린프라자 2층,35.1351327,128.7073996
558423,진해남문 시티프라디움 어린이놀이시설1(104105106동 사이),경남 창원시 진해구 남문동746,,2016-12-16,주택단지,경남 창원시 진해구 남문동746,35.1060974,128.7547543
558424,진해남문 시티프라디움 어린이놀이터2(보육시설/경로당 앞),경남 창원시 진해구 남문동746,,2016-12-16,주택단지,경남 창원시 진해구 남문동746,35.1060974,128.7547543
558426,진해남문 시티프라디움 어린이놀이터3(108109동 사이),경남 창원시 진해구 남문동746,,2016-12-16,주택단지,경남 창원시 진해구 남문동746,35.1060974,128.7547543
559387,부산신항만 13블럭 부영아파트 신축공사현장 유아놀이터(광장앞),경남 창원시 진해구 용원동1341-5,,2017-03-25,주택단지,경남 창원시 진해구 용원동1341-5,35.0898664,128.8169062
559388,부산신항만 13블럭 부영아파트 신축공사현장 어린이놀이터 (광장앞),경남 창원시 진해구 용원동1341-5,,2017-03-25,주택단지,경남 창원시 진해구 용원동1341-5,35.0898664,128.8169062
559389,부산신항만 8블럭부영아파트 신축공사현장 어린이놀이터 (805동 앞),경남 창원시 진해구 용원동1341-2,,2017-03-25,주택단지,경남 창원시 진해구 용원동1341-2,35.0897879,128.8133004
559390,부산신항만 8블럭 부영아파트 신축공사현장 어린이놀이터1 (802동 앞),경남 창원시 진해구 용원동1341-2,,2017-03-25,주택단지,경남 창원시 진해구 용원동1341-2,35.0897879,128.8133004
559890,샤브쌈주머니 진해장천점,,경상남도 창원시 진해구 충장로657번길 20 (장천동)현대빌링 3층,2017-04-12,식품접객업소,경상남도 창원시 진해구 충장로657번길 20 (장천동)현대빌링 3층,35.1306063,128.7057508
560832,진해남문시티프라디움2차 어린이놀이터1(210동 옆),경남 창원시 진해구 남문동1256-1,,2017-05-16,주택단지,경남 창원시 진해구 남문동1256-1,35.1035129,128.752279
560833,진해남문시티프라디움2차 어린이놀이터2(208동 앞),경남 창원시 진해구 남문동1256-1,,2017-05-16,주택단지,경남 창원시 진해구 남문동1256-1,35.1035129,128.752279
560835,진해남문시티프라디움2차 유아놀이터(어린이집 앞),경남 창원시 진해구 남문동1256-1,,2017-05-16,주택단지,경남 창원시 진해구 남문동1256-1,35.1035129,128.752279
559903,하늘소어린이집 인근놀이터,경남 창원시 진해구 자은동957-10,,2017-05-17,어린이집,경남 창원시 진해구 자은동957-10,35.1502393,128.7095249
559981,대패생각실내놀이시설,,경상남도 창원시 진해구 용재로 14 (용원동)2층 대패생각실내놀이시설,2017-05-24,식품접객업소,경상남도 창원시 진해구 용재로 14 (용원동)2층 대패생각실내놀이시설,35.1019439,128.8113018
561284,진해신항초등학교 어린이놀이시설,,경상남도 창원시 진해구 신항동로 158 (용원동)진해신항초등학교,2017-09-03,학교,경상남도 창원시 진해구 신항동로 158 (용원동)진해신항초등학교,35.0897021,128.8106138
561745,수제국수,,경상남도 창원시 진해구 진해대로975번길 7-7 (자은동)1층,2017-10-21,식품접객업소,경상남도 창원시 진해구 진해대로975번길 7-7 (자은동)1층,35.1431312,128.7077671
562301,통뼈감자탕 남문점,경남 창원시 진해구 남문동1244-3 2층 201호,,2017-11-18,식품접객업소,경남 창원시 진해구 남문동1244-3 2층 201호,35.1064322,128.7518444
562483,진해남문 호반베르디움아파트 606동앞 어린이놀이터2,경남 창원시 진해구 남문동1293-1,,2017-11-20,주택단지,경남 창원시 진해구 남문동1293-1,35.1034044,128.7578321
562867,호반베르디움 진해남문A6 609동앞 중앙광장놀이터,경남 창원시 진해구 남문동1293-1 호반베르디음진해남문(A6),,2017-11-20,주택단지,경남 창원시 진해구 남문동1293-1 호반베르디음진해남문(A6),35.1034044,128.7578321
562553,진해 남문 호반베르디움아파트 어린이놀이터(604동 앞),경남 창원시 진해구 남문동1293-1,,2017-12-01,주택단지,경남 창원시 진해구 남문동1293-1,35.1034044,128.7578321
562554,진해 남문 호반베르디움아파트 어린이놀이터(603동 뒤),경남 창원시 진해구 남문동1293-1,,2017-12-01,주택단지,경남 창원시 진해구 남문동1293-1,35.1034044,128.7578321
562426,부산신항만 2블럭 부영아파트 신축공사현장 어린이놀이터1(205동 앞),경남 창원시 진해구 용원동1336-4,,2017-12-03,주택단지,경남 창원시 진해구 용원동1336-4,35.0893945,128.8032408
562427,부산신항만 2블럭 부영아파트 신축공사현장 어린이놀이터2(206동 옆),경남 창원시 진해구 용원동1336-4,,2017-12-03,주택단지,경남 창원시 진해구 용원동1336-4,35.0893945,128.8032408
562428,부산신항만 3블럭 부영아파트 신축공사현장 어린이놀이터(307동 앞),경남 창원시 진해구 용원동1337,,2017-12-03,주택단지,경남 창원시 진해구 용원동1337,35.0880293,128.8028656
562429,부산신항만 4블럭 부영아파트 신축공사현장 어린이놀이터1(409동 앞),경남 창원시 진해구 용원동1337-5,,2017-12-03,주택단지,경남 창원시 진해구 용원동1337-5,35.0868756,128.8030454
562430,부산신항만 4블럭 부영아파트 신축공사현장 어린이놀이터2(411동 앞),경남 창원시 진해구 용원동1337-5,,2017-12-03,주택단지,경남 창원시 진해구 용원동1337-5,35.0868756,128.8030454
563707,웅천초 병설유치원 어린이놀이시설,,경상남도 창원시 진해구 웅천동로 33 (남문동)웅천초등학교 병설유치원,2018-02-06,유치원,경상남도 창원시 진해구 웅천동로 33 (남문동)웅천초등학교 병설유치원,35.1042508,128.7557454
563706,웅천초등학교 어린이놀이시설,,경상남도 창원시 진해구 웅천동로 33 (남문동)웅천초등학교,2018-02-23,학교,경상남도 창원시 진해구 웅천동로 33 (남문동)웅천초등학교,35.1042508,128.7557454
563500,화로이참숯구이,,경상남도 창원시 진해구 용재로 26 (용원동)12층,2018-03-19,식품접객업소,경상남도 창원시 진해구 용재로 26 (용원동)12층,35.1016797,128.8125713
564246,숲속정원어린이집,경상남도 창원시 진해구 북부동,,2018-04-18,어린이집,경상남도 창원시 진해구 북부동,35.1288,128.7395
564984,안정공원 어린이놀이시설,경상남도 창원시 진해구 안골동372,,2018-07-20,도시공원,경상남도 창원시 진해구 안골동372,35.0982646,128.803201
510793,삼익가든 2차아파트 11동옆 어린이놀이시설,,서울특별시 강동구 상암로 225 (명일동 삼익맨션),1984-10-16,주택단지,서울특별시 강동구 상암로 225 (명일동 삼익맨션),37.5473967,127.1481704
510747,둔촌현대1차아파트 어린이놀이시설 1,,서울특별시 강동구 동남로49길 57 (둔촌동 현대아파트),1984-11-30,주택단지,서울특별시 강동구 동남로49길 57 (둔촌동 현대아파트),37.532126,127.1463439
510748,둔촌현대1차아파트 어린이놀이시설 2,,서울특별시 강동구 동남로49길 57 (둔촌동 현대아파트),1984-11-30,주택단지,서울특별시 강동구 동남로49길 57 (둔촌동 현대아파트),37.532126,127.1463439
511312,천호우성아파트 놀이터1(5동),서울 강동구 천호동19-1,서울특별시 강동구 구천면로 366 (천호동),1985-02-01,주택단지,서울특별시 강동구 구천면로 366 (천호동),37.5493965,127.138201
511313,천호우성아파트 놀이터2(2동),서울 강동구 천호동19-1,서울특별시 강동구 구천면로 366 (천호동),1985-02-01,주택단지,서울특별시 강동구 구천면로 366 (천호동),37.5493965,127.138201
510786,삼익그린2차아파트 302 동 옆 어린이놀이시설,,서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션),1985-07-10,주택단지,서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션),37.5521163,127.1490062
510787,삼익그린2차아파트 503동 앞 어린이놀이시설,,서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션),1985-07-10,주택단지,서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션),37.5521163,127.1490062
510788,삼익그린2차아파트 508 동 옆 어린이놀이시설,,서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션),1985-07-10,주택단지,서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션),37.5521163,127.1490062
510789,삼익그린2차아파트 601 동 옆 어린이놀이시설,,서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션),1985-07-10,주택단지,서울특별시 강동구 고덕로 210 (명일동 삼익그린맨션),37.5521163,127.1490062
511075,명일신동아아파트 5동앞 놀이터,,서울특별시 강동구 고덕로 240 (명일동 신동아아파트),1986-02-07,주택단지,서울특별시 강동구 고덕로 240 (명일동 신동아아파트),37.5541964,127.1518345
511082,고덕현대아파트 놀이터,,서울특별시 강동구 동남로71길 41 (명일동 현대아파트),1986-02-07,주택단지,서울특별시 강동구 동남로71길 41 (명일동 현대아파트),37.5505067,127.1536585
511078,명일한양아파트 놀이터,,서울특별시 강동구 동남로71길 19 (명일동 한양아파트),1986-04-26,주택단지,서울특별시 강동구 동남로71길 19 (명일동 한양아파트),37.5505756,127.1553534
511069,삼익그린11차아파트 놀이터,서울 강동구 명일동38,서울특별시 강동구 명일로 376 (명일동),1986-06-30,주택단지,서울특별시 강동구 명일로 376 (명일동),37.5519907,127.1509433
1735,풍납동 현대사원아파트 놀이터,서울시 송파구 풍납2동 251-2,서울특별시 송파구 풍성로14길 19 (풍납동),1986-07-31,주택단지,서울특별시 송파구 풍성로14길 19 (풍납동),37.532846,127.1164717
511110,천호금호아파트 놀이터,서울 강동구 천호동44,서울특별시 강동구 양재대로 1557 (천호동),1987-06-13,주택단지,서울특별시 강동구 양재대로 1557 (천호동),37.5450011,127.1420802
511234,성내현대아파트 놀이터,,서울특별시 강동구 천호옛12길 27 (성내동 현대아파트),1987-12-12,주택단지,서울특별시 강동구 천호옛12길 27 (성내동 현대아파트),37.5354195,127.1263481
530597,풍납극동아파트 어린이놀이시설 관리사무실 옆,,서울특별시 송파구 올림픽로45길 11 (풍납동 극동아파트),1987-12-15,주택단지,서울특별시 송파구 올림픽로45길 11 (풍납동 극동아파트),37.5267464,127.1163321
510782,둔촌현대2차아파트 어린이놀이시설,,서울특별시 강동구 풍성로65길 34 (둔촌동 2차현대아파트),1988-01-29,주택단지,서울특별시 강동구 풍성로65길 34 (둔촌동 2차현대아파트),37.5293277,127.1406573
510743,둔촌현대3차아파트 어린이놀이시설,,서울특별시 강동구 진황도로 211 (둔촌동 현대아파트),1988-04-20,주택단지,서울특별시 강동구 진황도로 211 (둔촌동 현대아파트),37.5275477,127.1450084
510790,명일현대아파트 놀이터,,서울특별시 강동구 양재대로134길 87 (명일동 현대아파트),1988-10-04,주택단지,서울특별시 강동구 양재대로134길 87 (명일동 현대아파트),37.5488541,127.1487014
511105,천호현대프라자아파트 놀이터,서울 강동구 천호동410-105,서울특별시 강동구 진황도로 18 (천호동),1990-06-08,주택단지,서울특별시 강동구 진황도로 18 (천호동),37.5391354,127.1290176
511175,명일중앙하이츠아파트2동 놀이터,,서울특별시 강동구 구천면로 557 (상일동 명일중앙하이츠아파트),1992-05-08,주택단지,서울특별시 강동구 구천면로 557 (상일동 명일중앙하이츠아파트),37.5509202,127.1596519
511176,명일중앙하이츠아파트6동 놀이터,,서울특별시 강동구 구천면로 557 (상일동 명일중앙하이츠아파트),1992-05-08,주택단지,서울특별시 강동구 구천면로 557 (상일동 명일중앙하이츠아파트),37.5509202,127.1596519
510785,둔촌동아아파트 어린이놀이시설,서울 강동구 둔촌동94-16,서울특별시 강동구 진황도로61길 18 (둔촌동),1992-11-21,주택단지,서울특별시 강동구 진황도로61길 18 (둔촌동),37.5287937,127.1446476
502820,신동아 101동뒤,서울 송파구 풍납동220-2 신동아아파트,서울특별시 송파구 풍성로6길 15 신동아아파트 (풍납동),1993-12-24,주택단지,서울특별시 송파구 풍성로6길 15 신동아아파트 (풍납동),37.5337307,127.1144896
1826,풍납 쌍용아파트 102동앞 놀이터,서울시 송파구 풍납동 401,서울특별시 송파구 올림픽로47길 9 (풍납동 쌍용아파트),1994-07-29,주택단지,서울특별시 송파구 올림픽로47길 9 (풍납동 쌍용아파트),37.5271783,127.117641
1827,풍납 쌍용아파트 103동앞 놀이터,서울시 송파구 풍납동 401,서울특별시 송파구 올림픽로47길 12 (풍납동 쌍용아파트),1994-07-29,주택단지,서울특별시 송파구 올림픽로47길 12 (풍납동 쌍용아파트),37.5284173,127.1174783
502486,동아한가람 104동 놀이터,,서울특별시 송파구 한가람로 448 (풍납동 동아한가람아파트),1995-06-13,주택단지,서울특별시 송파구 한가람로 448 (풍납동 동아한가람아파트),37.5373214,127.115258
502487,동아한가람 107동앞 어린이놀이터,,서울특별시 송파구 한가람로 448 (풍납동 동아한가람아파트),1995-06-13,주택단지,서울특별시 송파구 한가람로 448 (풍납동 동아한가람아파트),37.5373214,127.115258
511240,동방아파트 놀이터,서울 강동구 성내동407-2,서울특별시 강동구 양재대로95길 74 (성내동),1995-08-08,주택단지,서울특별시 강동구 양재대로95길 74 (성내동),37.5313815,127.1329394
31215,풍납현대아파트 104동 놀이터,,서울특별시 송파구 올림픽로 525 (풍납동 현대아파트),1995-11-14,주택단지,서울특별시 송파구 올림픽로 525 (풍납동 현대아파트),37.5295028,127.118722
42246,풍납현대아파트 101동 놀이터,,서울특별시 송파구 올림픽로 525 (풍납동 현대아파트),1995-11-14,주택단지,서울특별시 송파구 올림픽로 525 (풍납동 현대아파트),37.5295028,127.118722
511202,암사라인아파트 놀이터1,,서울특별시 강동구 올림픽로104길 32 (암사동 라인아파트),1996-01-12,주택단지,서울특별시 강동구 올림픽로104길 32 (암사동 라인아파트),37.5555155,127.1312027
511203,암사라인아파트 놀이터,,서울특별시 강동구 올림픽로104길 32 (암사동 라인아파트),1996-01-12,주택단지,서울특별시 강동구 올림픽로104길 32 (암사동 라인아파트),37.5555155,127.1312027
510783,둔촌현대4차아파트 어린이 놀이시설,,서울특별시 강동구 진황도로61길 7 (둔촌동 둔촌동현대아파트),1996-02-29,주택단지,서울특별시 강동구 진황도로61길 7 (둔촌동 둔촌동현대아파트),37.5299686,127.1441487
510720,고덕아남 아파트 어린이놀이시설 1,,서울특별시 강동구 양재대로 1706 (고덕동 아남아파트),1996-03-29,주택단지,서울특별시 강동구 양재대로 1706 (고덕동 아남아파트),37.5578839,127.1458922
510721,고덕아남 아파트 어린이놀이시설 2,,서울특별시 강동구 양재대로 1706 (고덕동 아남아파트),1996-03-29,주택단지,서울특별시 강동구 양재대로 1706 (고덕동 아남아파트),37.5578839,127.1458922
510737,길동현대아파트 어린이놀이시설,,서울특별시 강동구 천호대로 1231 (길동 현대아파트),1996-07-31,주택단지,서울특별시 강동구 천호대로 1231 (길동 현대아파트),37.5367416,127.1472435
519698,풍납어린이집놀이터,,서울특별시 송파구 토성로 60 (풍납동),1997-01-01,어린이집,서울특별시 송파구 토성로 60 (풍납동),37.5288458,127.1165845
511114,천호삼성아파트 놀이터,서울 강동구 천호동528,서울특별시 강동구 성안로25길 6 (천호동),1997-05-26,주택단지,서울특별시 강동구 성안로25길 6 (천호동),37.5387142,127.1353308
514118,천호삼성아파트 놀이터2 (103-104동),서울 강동구 천호동528,서울특별시 강동구 성안로25길 6 (천호동),1997-05-26,주택단지,서울특별시 강동구 성안로25길 6 (천호동),37.5387142,127.1353308
511172,상일동아아파트 놀이터,,서울특별시 강동구 상암로81길 7 (상일동 상일동아아파트),1997-06-21,주택단지,서울특별시 강동구 상암로81길 7 (상일동 상일동아아파트),37.5461419,127.1672066
511087,천호유원아파트 놀이터,,서울특별시 강동구 상암로12길 24 (천호동 유원아파트),1997-08-26,주택단지,서울특별시 강동구 상암로12길 24 (천호동 유원아파트),37.5488534,127.1277471
511091,천호삼익아파트 놀이터,서울 강동구 천호동288-5,서울특별시 강동구 상암로12길 13 (천호동),1997-12-03,주택단지,서울특별시 강동구 상암로12길 13 (천호동),37.5483801,127.1286578
510780,둔촌동동아아파트 어린이놀이시설,,서울특별시 강동구 동남로49길 60-5 (둔촌동 동아아파트),1997-12-31,주택단지,서울특별시 강동구 동남로49길 60-5 (둔촌동 동아아파트),37.5333142,127.1459051
29817,풍납대아 101동 앞 어린이놀이시설,,서울특별시 송파구 올림픽로51길 30 (풍납동),1998-03-12,주택단지,서울특별시 송파구 올림픽로51길 30 (풍납동),37.5328767,127.1180986
510755,신성미소지움1차아파트 어린이놀이시설,,서울특별시 강동구 명일로 102 (둔촌동 신성둔촌미소지움),1998-05-02,주택단지,서울특별시 강동구 명일로 102 (둔촌동 신성둔촌미소지움),37.5278063,127.1428107
29711,풍납 씨티극동 102동 어린이놀이시설,서울 송파구 풍납동 509 씨티극동아파트,서울특별시 송파구 한가람로 478 씨티극동아파트 (풍납동),1998-05-27,주택단지,서울특별시 송파구 한가람로 478 씨티극동아파트 (풍납동),37.5399152,127.1183861
29712,풍납 씨티극동 101동 어린이놀이시설,서울 송파구 풍납동 509 씨티극동아파트,서울특별시 송파구 한가람로 478 씨티극동아파트 (풍납동),1998-05-27,주택단지,서울특별시 송파구 한가람로 478 씨티극동아파트 (풍납동),37.5399152,127.1183861
511228,암사대원아파트 놀이터,서울 강동구 암사동461,서울특별시 강동구 고덕로 52 (암사동),1998-06-29,주택단지,서울특별시 강동구 고덕로 52 (암사동),37.5542512,127.1307238
511342,성내삼성아파트 101동앞 놀이터,,서울특별시 강동구 풍성로 127 (성내동 성내동삼성아파트),1998-09-01,주택단지,서울특별시 강동구 풍성로 127 (성내동 성내동삼성아파트),37.5321375,127.1265234
511345,성내삼성아파트 202동앞 놀이터,,서울특별시 강동구 풍성로 128 (성내동 성내동삼성아파트),1998-09-01,주택단지,서울특별시 강동구 풍성로 128 (성내동 성내동삼성아파트),37.5311533,127.1259328
511346,성내삼성아파트 203동앞 놀이터,,서울특별시 강동구 풍성로 128 (성내동 성내동삼성아파트),1998-09-01,주택단지,서울특별시 강동구 풍성로 128 (성내동 성내동삼성아파트),37.5311533,127.1259328
511347,성내삼성아파트 204동앞 놀이터,,서울특별시 강동구 풍성로 128 (성내동 성내동삼성아파트),1998-09-01,주택단지,서울특별시 강동구 풍성로 128 (성내동 성내동삼성아파트),37.5311533,127.1259328
26993,대동아파트 놀이터,,서울특별시 송파구 풍성로15길 10 (풍납동 대동아파트),1999-01-12,주택단지,서울특별시 송파구 풍성로15길 10 (풍납동 대동아파트),37.5355317,127.1170144
511210,성안마을청구아파트 101동 놀이터,,서울특별시 강동구 풍성로 114-1 (성내동 성안마을청구아파트),1999-05-14,주택단지,서울특별시 강동구 풍성로 114-1 (성내동 성안마을청구아파트),37.5319456,127.1244302
511211,성안마을청구아파트 102동 놀이터,,서울특별시 강동구 풍성로 114-1 (성내동 성안마을청구아파트),1999-05-14,주택단지,서울특별시 강동구 풍성로 114-1 (성내동 성안마을청구아파트),37.5319456,127.1244302
511205,성내코오롱아파트 102동 놀이터,,서울특별시 강동구 천호대로168길 35 (성내동),1999-05-18,주택단지,서울특별시 강동구 천호대로168길 35 (성내동),37.5341326,127.1319548
511206,성내코오롱아파트 101동 놀이터,,서울특별시 강동구 천호대로168길 35 (성내동),1999-05-18,주택단지,서울특별시 강동구 천호대로168길 35 (성내동),37.5341326,127.1319548
514075,샛마을근린공원,서울 강동구 명일동288,,1999-06-30,도시공원,서울 강동구 명일동288,37.5501428,127.1471393
26965,현대리버빌1차아파트 303동 앞 놀이터,,서울특별시 송파구 풍성로24길 42 (풍납동 현대리버빌),1999-11-15,주택단지,서울특별시 송파구 풍성로24길 42 (풍납동 현대리버빌),37.53226,127.1165647
502821,현대리버빌1차 305동앞(관리동옆),,서울특별시 송파구 토성로 37 (풍납동 현대리버빌아파트),1999-11-15,주택단지,서울특별시 송파구 토성로 37 (풍납동 현대리버빌아파트),37.5305896,127.1155774
511116,천호롯데아파트 놀이터,서울 강동구 천호동55-4,서울특별시 강동구 천중로 161 (천호동),1999-11-22,주택단지,서울특별시 강동구 천중로 161 (천호동),37.5416692,127.1378623
27972,현대리버빌2차아파트내놀이터,서울 송파구 풍납2동 261,서울특별시 송파구 풍성로24길 42 (풍납동),1999-11-30,주택단지,서울특별시 송파구 풍성로24길 42 (풍납동),37.53226,127.1165647
25447,명일엘지아파트101동놀이터,,서울특별시 강동구 상암로51길 61 (명일동 명일엘지아파트),1999-12-27,주택단지,서울특별시 강동구 상암로51길 61 (명일동 명일엘지아파트),37.5490861,127.1460609
25448,명일엘지아파트102동 놀이터,,서울특별시 강동구 상암로51길 61 (명일동 명일엘지아파트),1999-12-27,주택단지,서울특별시 강동구 상암로51길 61 (명일동 명일엘지아파트),37.5490861,127.1460609
511315,천호동아하이빌아파트 놀이터 1(104동),서울 강동구 천호동217-132,서울특별시 강동구 구천면로 278 (천호동),2000-06-15,주택단지,서울특별시 강동구 구천면로 278 (천호동),37.5447579,127.1342431
511316,천호동아하이빌아파트 놀이터 2(관리동),서울 강동구 천호동217-132,서울특별시 강동구 구천면로 278 (천호동),2000-06-15,주택단지,서울특별시 강동구 구천면로 278 (천호동),37.5447579,127.1342431
513916,염주골어린이공원,서울 강동구 명일동326-10,서울특별시 강동구 양재대로138길 29 (명일동),2000-06-30,도시공원,서울특별시 강동구 양재대로138길 29 (명일동),37.5499448,127.1456231
502488,신성노바빌 101동앞 어린이놀이터,서울 송파구 풍납동510번지,서울특별시 송파구 한가람로 468 (풍납동),2000-09-30,주택단지,서울특별시 송파구 한가람로 468 (풍납동),37.5386574,127.1166637
511238,삼성광나루아파트 103동 뒤 놀이터,,서울특별시 강동구 상암로3길 77 (암사동 삼성광나루아파트),2001-01-31,주택단지,서울특별시 강동구 상암로3길 77 (암사동 삼성광나루아파트),37.5543129,127.1269711
511239,삼성광나루아파트 104동 뒤 놀이터,,서울특별시 강동구 상암로3길 77 (암사동 삼성광나루아파트),2001-01-31,주택단지,서울특별시 강동구 상암로3길 77 (암사동 삼성광나루아파트),37.5543129,127.1269711
513935,천암어린이공원,서울 강동구 천호동231-14번지,,2001-06-30,도시공원,서울 강동구 천호동231-14번지,37.5478559,127.1369092
